question,question_number,response_category,category,response
"What services would make your community a healthier, better place to live?",1,3,Environmental,help with non food items
"What services would make your community a healthier, better place to live?",1,3,Environmental, less garbage around country roads
"What services would make your community a healthier, better place to live?",1,3,Environmental,litter pick up
"What services would make your community a healthier, better place to live?",1,3,Environmental,litter pick up
"What services would make your community a healthier, better place to live?",1,3,Environmental,maintain or improve clean air
"What services would make your community a healthier, better place to live?",1,3,Environmental,more building regulations
"What services would make your community a healthier, better place to live?",1,3,Environmental,more focus on recycling
"What services would make your community a healthier, better place to live?",1,3,Environmental,more trash cans along sidewalks
"What services would make your community a healthier, better place to live?",1,3,Environmental,more trash clean up 
"What services would make your community a healthier, better place to live?",1,3,Environmental,more trees
"What services would make your community a healthier, better place to live?",1,3,Environmental,more walking trails
"What services would make your community a healthier, better place to live?",1,3,Environmental,Plumbing
"What services would make your community a healthier, better place to live?",1,3,Environmental,Public park
"What services would make your community a healthier, better place to live?",1,3,Environmental,sidewalks
"What services would make your community a healthier, better place to live?",1,3,Environmental,sidewalks on both sides of the streets 
"What services would make your community a healthier, better place to live?",1,3,Environmental,street work
"What services would make your community a healthier, better place to live?",1,3,Environmental,trash  clean  up 
"What services would make your community a healthier, better place to live?",1,3,Environmental,upgrade water system 
"What services would make your community a healthier, better place to live?",1,3,Environmental,walking paths-­?bike lanes
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,ecology type classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,environment classes & ways to decrease pollution
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,environment education
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,How to identify poor sewage sys performance
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,pick up garbage
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,recycling more material
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,planting trees
"What classes/education programs or services would make your community a healthier, better place to live?",2,3,Environmental,recycling classes
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,aquaponic farming
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,better sidewalk maintenance
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,better sidewalk maintenance
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,better sidewalk maintenance
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,Better water filltration systems
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,child therapy
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,cleaning the streets
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,decrease of pollution
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,Educational programs concerning value of recycling & decreased energy use exercise equipment
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,more bike paths
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,more  parks
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,more parks stors
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,more places to put waste and yard pickup
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,mosquito control
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,mosquito control
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,mosquito control
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,recycling organization
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,re-­?doing roads/sidewalks
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,recycling
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,Recycling bins for everyone
"What community health resources or services would make your community a healthier, better place to live?",3,3,Environmental,trees in town
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,home owners resource to help maintain their property 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,better roads
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,cleaning up trash 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,community yard p/u & clean up
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,go green communities
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,green energy where possible 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,green houses
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,green houses
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,help clean ceasar creek
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,help with healthy fuel
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,more bike paths not on the road 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,more signs/traffic lights
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,nature preserves
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,"not spend money on stupid things, use it for rebuilding schools, parks, roads, Etc. park"
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,people need to litter less & plant more plants 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,"recycle, re use"
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,recycling (free) less litter
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,recycling bins
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,recycling bins w/trash cans 
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,"recycling, "
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,sunpowered
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,wind mill
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,wind mills
"What economic resources or services would make your community a healthier, better place to live?",4,3,Environmental,wind turbines
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,community gardens
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,pollution 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Addition of sidewalks in other communities 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,"again sidewalks on both sides of the street animal control, take a tree-­?plant a tree"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,ash tree cleanup 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,ash tree clean up 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,bathroom at the park
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,better sidewalks in Franklin 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Better sidewalks.
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Better streets 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,better water 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,bike lanes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,community clean up days & advertise them
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,community street clean up 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,compost gardens
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,disaster education 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,during planting season make sure farmers don't spray when it's windy
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,eliminate more places from smoking
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,enforce renters keep up houses
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Engineer Dept
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,environmental survival classes 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,cleaning the community
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,food safety courses for food establishments 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,garbage pick up
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,give awards to businesses with strong recycling program 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental, Industrial air & water filters at mills.
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,inspectens
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,lessons on danerous plants & animals 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Litter awareness
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,"more extensive road repair, pot holes, resurfacing "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,more recycle bins
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,more sidewalk
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental, more sidewalks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental, more sidewalks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,not throwing trash cans in middle of road 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,plumbing
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,"pool, daycare, school, & restaurant inspections "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,"programs to clean up our city, "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Publish air quality information daily for high density population areas in the county. 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,recycle containers at schoold for the community to use or located at parks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,recycle more in school
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,recycling 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,recycling bins
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental, road conditions
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,roads are in dis-­?repair like a 3rd world country 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,Simple steps to maintain sweage systems
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,someone to pick more trash off side of streets/parks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,"stricter dog leash laws! too many ""cats"" & dogs running freely to bite or get into trash "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,teach people to take care of pets better 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,water faltons (fountains?)
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,water quality control standards for public beaches 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,ways to keep dogs safe
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,widen roads for increased traffic
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,3,Environmental,wider roads for increased traffic 
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,2-­?3 dumpster days
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,"Carlisle is quite opinionated on conderate flag, take them all down & stop being so backward in thought. "
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,clean up South Lebanon-­?make  it safer
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,don't litter
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,don't smoke
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,Less chemical dumping&polution by factorys
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,more public places should be non-­?smoking
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,no smoking in Public places(areas)
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,offer better recycling programs 
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,Recognize schools and businesses which lower their carbon footprint
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,spay & neuter all animals-­?too many running around 
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,stop building
"What other issues or services would make your community a healthier, better place to live?",6,3,Environmental,we need to work on controlling litter in subdivisions
"What services would make your community a healthier, better place to live?",1,4,Community Activities, bike rental
"What services would make your community a healthier, better place to live?",1,4,Community Activities,park fitness classes
"What services would make your community a healthier, better place to live?",1,4,Community Activities,promote family activities
"What services would make your community a healthier, better place to live?",1,4,Community Activities,public swimming pool
"What services would make your community a healthier, better place to live?",1,4,Community Activities,?in free physical activity programs for kids & seniors
"What services would make your community a healthier, better place to live?",1,4,Community Activities,cheaper city services
"What services would make your community a healthier, better place to live?",1,4,Community Activities,community services 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,community walking 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,community services
"What services would make your community a healthier, better place to live?",1,4,Community Activities,free educational type classes
"What services would make your community a healthier, better place to live?",1,4,Community Activities,free or inexpensive exercise classes (at church or other common areas) 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,free parks
"What services would make your community a healthier, better place to live?",1,4,Community Activities,free place for kids to play indoors
"What services would make your community a healthier, better place to live?",1,4,Community Activities,free youth educational and recreational activities at parks &/or schools during summer vacation 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,horseback riding
"What services would make your community a healthier, better place to live?",1,4,Community Activities,horseback riding
"What services would make your community a healthier, better place to live?",1,4,Community Activities,I think would be something like a public gym and some fun activities for little ones
"What services would make your community a healthier, better place to live?",1,4,Community Activities,a public swimming pool
"What services would make your community a healthier, better place to live?",1,4,Community Activities,local swimming pool
"What services would make your community a healthier, better place to live?",1,4,Community Activities,more activities
"What services would make your community a healthier, better place to live?",1,4,Community Activities,more activities
"What services would make your community a healthier, better place to live?",1,4,Community Activities,more activities for kids such as sports 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,more family friendly restaraunts 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,more family parks
"What services would make your community a healthier, better place to live?",1,4,Community Activities, more parks
"What services would make your community a healthier, better place to live?",1,4,Community Activities,nices places to eat 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,"outdoor trips, creeking, hiking, etc."
"What services would make your community a healthier, better place to live?",1,4,Community Activities,promote family activiities
"What services would make your community a healthier, better place to live?",1,4,Community Activities,Public activity centers
"What services would make your community a healthier, better place to live?",1,4,Community Activities, rent a bike service
"What services would make your community a healthier, better place to live?",1,4,Community Activities,rent a bike services
"What services would make your community a healthier, better place to live?",1,4,Community Activities,rent-a-bike  services
"What services would make your community a healthier, better place to live?",1,4,Community Activities,swimming pools besides the YMCA 
"What services would make your community a healthier, better place to live?",1,4,Community Activities,"we need more community gyms, pools, more parks, career days"
"What services would make your community a healthier, better place to live?",1,4,Community Activities,"we need more health educators, we need to care more about our community WIC"
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,making programs more available and getting information out
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,more organized sports activities
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,A free community center for teens w/mentors
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,art
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,bow shooting program
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,civic groups or other organized groups-­?adults first then teens & adolescents
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities, community garden
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,community garden
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,computer
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,correctional classed
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,landscaping
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,"library activities-­?ie..use of library room, sewing classes-­?these 2 things can be done free of charge by individuals-­? you provide your own equipment…use of library is free"
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,make sports more accesible/affordable for all children.
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,more community events
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,more geneology programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,more schools park
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,nature program
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,"bible study, "
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,summer camp
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,sewing/cooking class
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,skydiving classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,summer activiities
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,volunteer for at all schools
"What classes/education programs or services would make your community a healthier, better place to live?",2,4,Community Activities,volunteer ops at all schools
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,child program
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,community gardens
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,easier access to computers at library
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,"free sports, ie no fees etc"
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,more info at local festivals
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,more speakers to community groups
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,physical & mental speakers
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,skate parks for kids
"What community health resources or services would make your community a healthier, better place to live?",3,4,Community Activities,YMCA
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,bike paths
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,summer feeding @ parks
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,co op for art gallery
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,develop partnerships with cities/towns on how to support business-­?friendly collaboratives-­?
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,exercise station
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,funding of athletic programs to see more students involved 
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,livelihood program 
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,money fairs
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,more parks
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,more support to local churches 
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,more parks
"What economic resources or services would make your community a healthier, better place to live?",4,4,Community Activities,subsidize Y-­?memberships (expensive) 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,more green space & playgrounds in residential areas
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,communal gardening
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,community  gardens 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,community service opportunity 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,library
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,more community service from citizens
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,more parks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,more public lands for use esp hunting 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,parks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,Parks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,parks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,purchase of more public lands 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,more public parks & park related items
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,"swimming lesson offered to children, pedestrian skills"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,4,Community Activities,trained baby sitter lists-­?approved by Red Cross or Health Dept. 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,a community center for people of all ages
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,affordable activities /free activities especially for seniors & children 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,another free place like the YMCA 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,availibility to YMCA
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,free ice cream on Wed. -­?pizza every other Fri. 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,grandson (15) would like to see a skateboard park where you can ride scooters 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,"I grew up in church, dad was a preacher & mom taught Sunday School, ppl need to be closer to Christ!  "
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,investment-­?downtown Lebanon 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,maybe a disc golf league or a few more tee pads at Harmon 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,more bike/walking paths
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,more family events
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,more places to do exercise outdoor 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,more summer activities for kids
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,more walking trails 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,park with walking path-­?family friendly 
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,"sidewalks, dog park"
"What other issues or services would make your community a healthier, better place to live?",6,4,Community Activities,we need mor parties with neighbors/community get togethers 
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,after school help
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,"before/after school care, pre-­?schools better access to care"
"What services would make your community a healthier, better place to live?",1,5,Youth Issues, daycare
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,more head start availability
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,"more parent education, outreach to teens"
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,more recreational sports for teens 
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,"more stuff  for kids, troubled kids, "
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,more youth services to get them involved in the community 
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,organized free activities for young kids 
"What services would make your community a healthier, better place to live?",1,5,Youth Issues,"something for the kids to do after school, big sister & brother program"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,summer programs for kids.
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,How to conduct themselves as adult. (rubber meets the road).
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,4-­?H
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,abstinence/std/pregnancy prevention in schools
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,after school programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,after school programs
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,classes at public schools
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,classes for children
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,classes for smaller children
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,"drug & alcohol, teen pregnancies"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,Early Childhood classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,FFA
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,FFA
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,free after school programs 
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,free pre-­?school
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,How to help teens(classes)
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,"in depth sex ed, home economics (ie..what are mortgages)"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,information & working more with at risk students & parents
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,intramural organized recess time for some of time allowed
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,more involvement in 4-­?H/FFA
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,more involvement in 4-­?H
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,more organized sports activities
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,more pre kindergarden services
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,more pre-­?kindergarden services
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues, more  preschool  education
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,place to go after school (girls and boys club)
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,"school issue-­?helping children reading, math, writing, whiz kids"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,summer programs for kids w/no food/daycare
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,summer school activities with lunches
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,teen classes
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,teen classes on healthier life test
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,teen pregnancy
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,things for kids to do
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,"to teach children a health food classes something that would get kids more involved with their community trade schools, awareness classes"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,"tutoring, youth activities available regardless of income"
"What classes/education programs or services would make your community a healthier, better place to live?",2,5,Youth Issues,younger people(teens) need to be taught political system
"What community health resources or services would make your community a healthier, better place to live?",3,5,Youth Issues,free physical activity programs for kids
